symbol,company,insider,insider_position,trade_type,trade_shares,trade_price,trade_value,trade_date,now
ADMA,"Adma Biologics, Inc.",Grossman Jerrold B,,Buy,5300.0,2.59,13727.0,2020-08-21 00:00:00,2020-08-28 00:33:40.870676
ADMQ,"Adm Endeavors, Inc.",Johnson Marc  ,CEO,Buy,54444.0,0.11,5988.0,2020-08-21 00:00:00,2020-08-28 00:33:40.870727
AMAR,Amarillo Biosciences Inc,Chen Stephen T  ,"President,Chairman,CEO,CFO",Buy,100.0,0.21,21.0,2020-08-24 00:00:00,2020-08-28 00:33:40.870779
ANDR,Andrea Electronics Corp,Migliozzi Joseph J,,Buy,500.0,0.06,27.0,2020-08-20 00:00:00,2020-08-28 00:33:40.870832
ANDR,Andrea Electronics Corp,Migliozzi Joseph J,,Buy,171731.0,0.03,5151.0,2020-08-18 00:00:00,2020-08-28 00:33:40.870876
ANDR,Andrea Electronics Corp,Andrea Douglas J  ,President & CEO,Buy,110000.0,0.03,3740.0,2020-08-20 00:00:00,2020-08-28 00:33:40.870922
ANDR,Andrea Electronics Corp,Andrea Douglas J  ,President & CEO,Buy,35100.0,0.03,1193.0,2020-08-24 00:00:00,2020-08-28 00:33:40.870968
ANDR,Andrea Electronics Corp,Andrea Douglas J  ,President & CEO,Buy,4900.0,0.04,191.0,2020-08-25 00:00:00,2020-08-28 00:33:40.871016
APLE,"Apple Hospitality Reit, Inc.",Hugh Redd  ,Director,Buy,1000.0,9.48,9480.0,2020-08-21 00:00:00,2020-08-28 00:33:40.871069
APLE,"Apple Hospitality Reit, Inc.",Labrecque Rachel  ,SVP & Chief Accounting Officer,Buy,1000.0,9.5,9500.0,2020-08-24 00:00:00,2020-08-28 00:33:40.871114
AXS,Axis Capital Holdings Ltd,Davis Charles A  ,Director,Buy,250000.0,45.0,11250000.0,2020-08-21 00:00:00,2020-08-28 00:33:40.871165
AXS,Axis Capital Holdings Ltd,Davis Charles A  ,Director,Buy,61415.0,45.71,2807279.0,2020-08-24 00:00:00,2020-08-28 00:33:40.871210
BOOM,Dmc Global Inc.,Longe Kevin T  ,President and CEO,Buy,429.0,23.31,9999.0,2020-03-10 00:00:00,2020-08-28 00:33:40.871263
BOOM,Dmc Global Inc.,Longe Kevin T  ,President and CEO,Buy,461.0,21.69,9999.0,2020-03-11 00:00:00,2020-08-28 00:33:40.871307
BWB,Bridgewater Bancshares Inc,Juran David B.,,Buy,43543.0,9.51,414224.0,2020-08-21 00:00:00,2020-08-28 00:33:40.871362
BWB,Bridgewater Bancshares Inc,Juran David B.,,Buy,4608.0,9.68,44582.0,2020-08-24 00:00:00,2020-08-28 00:33:40.871406
CALB,California Bancorp,Cortese Stephen A.  ,Director,Buy,4112.0,13.24,54442.0,2020-08-21 00:00:00,2020-08-28 00:33:40.871454
CNSP,"Cns Pharmaceuticals, Inc.",Downs Christopher  ,Chief Financial Officer,Buy,142000.0,2.04,289680.0,2020-08-24 00:00:00,2020-08-28 00:33:40.871520
CRBO,Carbon Energy Corp,Mcdonald Patrick R  ,CHIEF EXECUTIVE OFFICER,Buy,5000.0,0.21,1050.0,2020-08-25 00:00:00,2020-08-28 00:33:40.871568
CRDA CRDB,Crawford & Co,Agadi Harshavardhan V  ,Director,Buy,2000.0,7.44,14880.0,2020-08-24 00:00:00,2020-08-28 00:33:40.871619
CRDA CRDB,Crawford & Co,Agadi Harshavardhan V  ,Director,Buy,2155.0,7.42,15990.0,2020-08-25 00:00:00,2020-08-28 00:33:40.871664
CWH,"Camping World Holdings, Inc.","Ml Rv Group, Llc  ",10% Owner,Buy,15475.0,32.23,498805.0,2020-08-24 00:00:00,2020-08-28 00:33:40.871716
CZFS,Citizens Financial Services Inc,Kunes Christopher W  ,Director,Buy,1500.0,47.5,71250.0,2020-08-21 00:00:00,2020-08-28 00:33:40.871767
DEX,Delaware Enhanced Global Dividend & Income Fund,Weinstein Boaz  ,10% Owner,Buy,20165.0,8.97,180880.0,2020-08-24 00:00:00,2020-08-28 00:33:40.871814
DEX,Delaware Enhanced Global Dividend & Income Fund,Weinstein Boaz  ,10% Owner,Buy,4183.0,8.88,37145.0,2020-08-21 00:00:00,2020-08-28 00:33:40.871858
ELST,Electronic Systems Technology Inc,Kornelsen Vern D  ,Secretary,Buy,119200.0,0.15,17880.0,2020-08-24 00:00:00,2020-08-28 00:33:40.871909
EMMA,"Emmaus Life Sciences, Inc.",Niihara Yutaka  ,Chairman and CEO,Buy,250.0,1.59,397.0,2020-08-21 00:00:00,2020-08-28 00:33:40.871961
EVF,Eaton Vance Senior Income Trust,Weinstein Boaz  ,10% Owner,Buy,155096.0,5.88,911964.0,2020-08-21 00:00:00,2020-08-28 00:33:40.872010
EVF,Eaton Vance Senior Income Trust,Weinstein Boaz  ,10% Owner,Buy,15797.0,5.84,92254.0,2020-08-24 00:00:00,2020-08-28 00:33:40.872055
FCBC,First Community Bankshares Inc /va/,Johnson Richard Scott  ,Director,Buy,5000.0,19.66,98315.0,2020-08-21 00:00:00,2020-08-28 00:33:40.872106
FREE,"Whole Earth Brands, Inc.",Rusie Andrew  ,Chief Financial Officer,Buy,4300.0,7.29,31347.0,2020-08-24 00:00:00,2020-08-28 00:33:40.872158
FREE,"Whole Earth Brands, Inc.",Manzone Albert  ,Chief Executive Officer,Buy,10000.0,7.43,74280.0,2020-08-24 00:00:00,2020-08-28 00:33:40.872202
GBDC,"Golub Capital Bdc, Inc.",Golub David  ,Chief Executive Officer,Buy,87200.0,12.72,1109532.0,2020-08-21 00:00:00,2020-08-28 00:33:40.872252
GBDC,"Golub Capital Bdc, Inc.",Golub Lawrence E  ,Chairman,Buy,87200.0,12.72,1109532.0,2020-08-21 00:00:00,2020-08-28 00:33:40.872296
GMED,Globus Medical Inc,Douglas Robert Andrew  ,Director,Buy,615.0,53.88,33136.0,2020-08-24 00:00:00,2020-08-28 00:33:40.872348
GTIM,Good Times Restaurants Inc.,Stetson Robert J,,Buy,4382.0,1.64,7186.0,2020-08-21 00:00:00,2020-08-28 00:33:40.872401
GTIM,Good Times Restaurants Inc.,Stetson Robert J,,Buy,3300.0,1.7,5610.0,2020-08-24 00:00:00,2020-08-28 00:33:40.872445
HRMY,"Harmony Biosciences Holdings, Inc.",Novo Holdings A/s  ,10% Owner,Buy,132503.0,24.0,3180072.0,2020-08-21 00:00:00,2020-08-28 00:33:40.872492
INBX,"Inhibrx, Inc.",Shabet Rose Sharon,,Buy,46161.0,19.43,897000.0,2020-08-24 00:00:00,2020-08-28 00:33:40.872543
INBX,"Inhibrx, Inc.",Shabet Rose Sharon,,Buy,85304.0,19.31,1647305.0,2020-08-25 00:00:00,2020-08-28 00:33:40.872589
INFU,"Infusystem Holdings, Inc",Steele Barry G  ,Executive VP and CFO,Buy,3000.0,12.99,38970.0,2020-08-24 00:00:00,2020-08-28 00:33:40.872641
INFU,"Infusystem Holdings, Inc",Steele Barry G  ,Executive VP and CFO,Buy,105.0,13.12,1377.0,2020-08-25 00:00:00,2020-08-28 00:33:40.872685
IVFH,Innovative Food Holdings Inc,"Jcp Investment Holdings, Llc",,Buy,10000.0,0.29,2900.0,2020-08-21 00:00:00,2020-08-28 00:33:40.872735
IVFH,Innovative Food Holdings Inc,"Jcp Investment Holdings, Llc",,Buy,47649.0,0.32,15152.0,2020-08-24 00:00:00,2020-08-28 00:33:40.872779
JBGS,Jbg Smith Properties,Stewart Robert Alexander  ,Director,Buy,20000.0,27.4,548000.0,2020-08-20 00:00:00,2020-08-28 00:33:40.872829
JBGS,Jbg Smith Properties,Stewart Robert Alexander  ,Director,Buy,16500.0,27.67,456555.0,2020-08-24 00:00:00,2020-08-28 00:33:40.872873
JRO,Nuveen Floating Rate Income Opportunity Fund,Caraher Scott C.  ,Other,Buy,5000.0,7.37,36840.0,2020-03-31 00:00:00,2020-08-28 00:33:40.872923
KRNY,Kearny Financial Corp.,Mazur John J Jr,,Buy,10000.0,7.65,76500.0,2020-08-21 00:00:00,2020-08-28 00:33:40.872981
LEU,Centrus Energy Corp,Subin Neil S,,Buy,500000.0,10.0,5000000.0,2020-08-21 00:00:00,2020-08-28 00:33:40.873033
LGF.B,Lions Gate Entertainment Corp /cn/,Crawford Gordon  ,Director,Buy,24488.0,8.51,208417.0,2020-08-25 00:00:00,2020-08-28 00:33:40.873083
LGF.B,Lions Gate Entertainment Corp /cn/,Crawford Gordon  ,Director,Buy,25512.0,8.43,215142.0,2020-08-24 00:00:00,2020-08-28 00:33:40.873128
LIVX,"Livexlive Media, Inc.",Ellin Robert S  ,CEO & Chairman,Buy,3300.0,2.83,9342.0,2020-08-24 00:00:00,2020-08-28 00:33:40.873181
LIVX,"Livexlive Media, Inc.",Ellin Robert S  ,CEO & Chairman,Buy,2200.0,2.92,6413.0,2020-08-21 00:00:00,2020-08-28 00:33:40.873224
LOB,"Live Oak Bancshares, Inc.",Mahan James S Iii  ,Chief Executive Officer,Buy,18264.0,19.99,365133.0,2020-08-24 00:00:00,2020-08-28 00:33:40.873275
LOB,"Live Oak Bancshares, Inc.",Mahan James S Iii  ,Chief Executive Officer,Buy,38889.0,19.69,765802.0,2020-08-21 00:00:00,2020-08-28 00:33:40.873321
MN,"Manning & Napier, Inc.",Mayer Marc O  ,Chairman and CEO,Buy,4172.0,4.06,16938.0,2020-08-21 00:00:00,2020-08-28 00:33:40.873373
MN,"Manning & Napier, Inc.",Mayer Marc O  ,Chairman and CEO,Buy,328.0,4.27,1400.0,2020-08-24 00:00:00,2020-08-28 00:33:41.120707
NGM,Ngm Biopharmaceuticals Inc,Svennilson Peter  ,10% Owner,Buy,11024.0,17.96,197991.0,2020-08-24 00:00:00,2020-08-28 00:33:41.120860
NGM,Ngm Biopharmaceuticals Inc,Svennilson Peter  ,10% Owner,Buy,100.0,18.0,1800.0,2020-08-25 00:00:00,2020-08-28 00:33:41.120952
NGM,Ngm Biopharmaceuticals Inc,Svennilson Peter  ,10% Owner,Buy,7321.0,17.97,131558.0,2020-08-21 00:00:00,2020-08-28 00:33:41.121037
NGM,Ngm Biopharmaceuticals Inc,Kutzkey Tim  ,Other,Buy,100.0,18.0,1800.0,2020-08-25 00:00:00,2020-08-28 00:33:41.121116
NGM,Ngm Biopharmaceuticals Inc,Kutzkey Tim  ,Other,Buy,7321.0,17.97,131558.0,2020-08-21 00:00:00,2020-08-28 00:33:41.121194
NGM,Ngm Biopharmaceuticals Inc,Kutzkey Tim  ,Other,Buy,11024.0,17.96,197991.0,2020-08-24 00:00:00,2020-08-28 00:33:41.121274
NYC,"New York City Reit, Inc.",Weil Edward M Jr.  ,"CEO, President and Secretary",Buy,500.0,13.72,6861.0,2020-08-25 00:00:00,2020-08-28 00:33:41.121364
NYC,"New York City Reit, Inc.",Weil Edward M Jr.  ,"CEO, President and Secretary",Buy,500.0,13.88,6942.0,2020-08-24 00:00:00,2020-08-28 00:33:41.121445
OPTN,"Optinose, Inc.",Marino Michael F Iii  ,Chief Legal Officer & Corp Sec,Buy,1000.0,5.03,5030.0,2020-08-21 00:00:00,2020-08-28 00:33:41.121539
OPTN,"Optinose, Inc.",Marino Michael F Iii  ,Chief Legal Officer & Corp Sec,Buy,1000.0,5.25,5250.0,2020-08-20 00:00:00,2020-08-28 00:33:41.121622
